Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
297.000	110.960	258.814	136.135	28.327	40.509	178.011	154.507	167.360
298.000	119.452	176.213	82.207	79.259	182.155	329.004	208.161	259.747
299.000	250.804	108.533	57.539	84.409	161.298	275.053	272.339	408.386
300.000	309.691	56.519	123.923	50.178	242.018	305.966	237.237	319.102
301.000	482.884	94.632	221.599	78.573	222.606	183.068	59.012	303.439
302.000	326.035	305.966	154.028	184.639	104.845	114.960	84.232	293.106
303.000	16.429	200.847	208.858	295.092	111.570	213.909	58.495	439.174
304.000	49.973	83.525	343.694	657.507	146.925	303.439	115.167	343.157
305.000	56.374	35.859	198.257	704.852	46.160	206.494	512.593	257.729
306.000	19.879	107.931	49.090	29.364	119.241	185.295	676.950	282.140
307.000	18.860	79.689	34.203	147.042	27.714	266.320	204.695	191.254
308.000	9.183	58.790	24.654	236.643	8.721	336.221	123.172	215.890
309.000	10.894	99.000	22.225	179.818	31.223	418.590	83.878	92.671
310.000	40.447	17.786	51.832	200.437	74.271	433.931	78.830	160.197
311.000	27.613	32.751	164.500	154.987	211.236	397.345	154.627	445.059
312.000	51.623	69.848	40.019	233.683	42.372	537.581	311.221	277.780
313.000	37.496	211.095	102.389	99.673	149.392	692.100	348.181	208.718
314.000	86.641	192.189	288.498	161.666	59.756	548.601	279.714	350.526
315.000	219.306	149.274	189.390	146.458	141.479	415.240	196.629	445.670
316.000	62.548	32.256	8.243	140.676	38.208	306.135	163.759	175.701
317.000	74.354	14.458	17.664	149.392	300.923	151.879	198.257	103.270
318.000	48.955	43.702	11.837	20.355	264.591	72.453	464.194	357.061
319.000	65.014	69.284	29.626	21.236	386.835	18.072	410.338	226.946
320.000	105.241	131.668	141.479	29.521	118.295	176.469	361.084	197.578
321.000	280.037	188.859	437.760	81.945	143.552	370.126	157.037	226.801
322.000	236.198	200.164	350.707	63.391	9.837	252.641	195.953	227.965
323.000	168.861	89.265	39.775	35.859	14.827	275.373	213.204	127.930
324.000	138.283	24.415	146.224	46.752	14.130	274.733	168.861	37.910
325.000	177.497	110.249	188.064	110.249	112.797	238.726	355.968	98.233
326.000	58.938	375.343	38.747	182.938	310.541	41.311	275.053	170.243
327.000	14.865	62.091	15.580	137.943	124.461	25.475	240.219	133.557
328.000	102.682	102.096	13.805	24.035	162.526	70.900	173.660	345.127
329.000	162.034	244.275	41.684	50.314	87.271	190.187	120.721	250.957
330.000	225.640	207.188	72.371	84.055	60.205	254.178	160.319	92.207
331.000	117.980	118.295	72.617	137.829	43.129	130.673	138.283	266.320
332.000	52.389	270.907	101.221	104.450	127.494	150.219	180.855	271.384
333.000	236.643	282.951	62.319	63.084	54.292	195.413	221.025	586.064
334.000	425.330	364.761	27.562	45.311	100.639	217.452	232.799	481.401
335.000	163.882	396.383	104.944	110.350	81.248	316.350	241.718	301.593
336.000	108.835	361.635	200.710	102.682	159.343	523.135	203.729	465.443
337.000	138.056	65.638	195.144	165.865	392.359	316.693	148.567	253.870
338.000	135.685	56.664	136.248	196.088	225.930	268.846	151.285	658.745
339.000	112.797	209.276	29.155	124.569	184.245	335.160	158.006	386.265
340.000	213.063	57.101	8.950	66.265	145.991	226.801	134.116	301.090
341.000	123.708	85.745	38.988	72.453	255.718	303.439	55.436	451.393
342.000	215.748	124.031	56.229	105.241	258.504	325.165	74.688	171.884
343.000	101.221	47.082	33.529	119.874	93.043	407.606	165.616	332.163
344.000	105.836	124.892	75.608	89.448	201.668	256.955	163.512	231.182
345.000	95.008	131.668	94.444	154.987	147.628	104.746	151.167	387.404
346.000	158.734	113.721	73.276	406.827	119.558	40.263	111.163	373.289
347.000	207.049	104.746	37.732	225.785	140.219	36.614	140.676	586.064
348.000	139.762	65.482	69.687	115.893	31.385	136.811	207.465	387.025
